Yr,Series,,,Team,W,,Team,W
2015,Finals,Jun 4 - Jun 16 2015,Golden State Warriors,4,Cleveland Cavaliers,2,,
2014,Eastern Conf First Round,Apr 19 - May 3 2014,Indiana Pacers,4,Atlanta Hawks,3,,
2014,Eastern Conf First Round,Apr 20 - Apr 28 2014,Miami Heat,4,Charlotte Bobcats,0,,
2014,Eastern Conf First Round,Apr 19 - May 4 2014,Brooklyn Nets,4,Toronto Raptors,3,,
2014,Eastern Conf First Round,Apr 20 - Apr 29 2014,Washington Wizards,4,Chicago Bulls,1,,
2014,Western Conf First Round,Apr 20 - May 4 2014,San Antonio Spurs,4,Dallas Mavericks,3,,
2014,Western Conf First Round,Apr 19 - May 3 2014,Oklahoma City Thunder,4,Memphis Grizzlies,3,,
2014,Western Conf First Round,Apr 19 - May 3 2014,Los Angeles Clippers,4,Golden State Warriors,3,,
2014,Western Conf First Round,Apr 20 - May 2 2014,Portland Trail Blazers,4,Houston Rockets,2,,
2014,Eastern Conf Semifinals,May 5 - May 15 2014,Indiana Pacers,4,Washington Wizards,2,,
2014,Eastern Conf Semifinals,May 6 - May 14 2014,Miami Heat,4,Brooklyn Nets,1,,
2014,Western Conf Semifinals,May 6 - May 14 2014,San Antonio Spurs,4,Portland Trail Blazers,1,,
2014,Western Conf Semifinals,May 5 - May 15 2014,Oklahoma City Thunder,4,Los Angeles Clippers,2,,
2014,Eastern Conf Finals,May 18 - May 30 2014,Miami Heat,4,Indiana Pacers,2,,
2014,Western Conf Finals,May 19 - May 31 2014,San Antonio Spurs,4,Oklahoma City Thunder,2,,
2014,Finals,Jun 5 - Jun 15 2014,San Antonio Spurs,4,Miami Heat,1,,
2013,Eastern Conf First Round,Apr 21 - Apr 28 2013,Miami Heat,4,Milwaukee Bucks,0,,
2013,Eastern Conf First Round,Apr 20 - May 3 2013,New York Knicks,4,Boston Celtics,2,,
2013,Eastern Conf First Round,Apr 21 - May 3 2013,Indiana Pacers,4,Atlanta Hawks,2,,
2013,Eastern Conf First Round,Apr 20 - May 4 2013,Chicago Bulls,4,Brooklyn Nets,3,,
2013,Western Conf First Round,Apr 21 - May 3 2013,Oklahoma City Thunder,4,Houston Rockets,2,,
2013,Western Conf First Round,Apr 21 - Apr 28 2013,San Antonio Spurs,4,Los Angeles Lakers,0,,
2013,Western Conf First Round,Apr 20 - May 2 2013,Golden State Warriors,4,Denver Nuggets,2,,
2013,Western Conf First Round,Apr 20 - May 3 2013,Memphis Grizzlies,4,Los Angeles Clippers,2,,
2013,Eastern Conf Semifinals,May 6 - May 15 2013,Miami Heat,4,Chicago Bulls,1,,
2013,Eastern Conf Semifinals,May 5 - May 18 2013,Indiana Pacers,4,New York Knicks,2,,
2013,Western Conf Semifinals,May 5 - May 15 2013,Memphis Grizzlies,4,Oklahoma City Thunder,1,,
2013,Western Conf Semifinals,May 6 - May 16 2013,San Antonio Spurs,4,Golden State Warriors,2,,
2013,Eastern Conf Finals,May 22 - Jun 3 2013,Miami Heat,4,Indiana Pacers,3,,
2013,Western Conf Finals,May 19 - May 27 2013,San Antonio Spurs,4,Memphis Grizzlies,0,,
2013,Finals,Jun 6 - Jun 20 2013,Miami Heat,4,San Antonio Spurs,3,,
2012,Eastern Conf First Round,Apr 28 - May 10 2012,Philadelphia 76ers,4,Chicago Bulls,2,,
2012,Eastern Conf First Round,Apr 28 - May 9 2012,Miami Heat,4,New York Knicks,1,,
2012,Eastern Conf First Round,Apr 28 - May 8 2012,Indiana Pacers,4,Orlando Magic,1,,
2012,Eastern Conf First Round,Apr 29 - May 10 2012,Boston Celtics,4,Atlanta Hawks,2,,
2012,Western Conf First Round,Apr 29 - May 7 2012,San Antonio Spurs,4,Utah Jazz,0,,
2012,Western Conf First Round,Apr 28 - May 5 2012,Oklahoma City Thunder,4,Dallas Mavericks,0,,
2012,Western Conf First Round,Apr 29 - May 12 2012,Los Angeles Lakers,4,Denver Nuggets,3,,
2012,Western Conf First Round,Apr 29 - May 13 2012,Los Angeles Clippers,4,Memphis Grizzlies,3,,
2012,Eastern Conf Semifinals,May 13 - May 24 2012,Miami Heat,4,Indiana Pacers,2,,
2012,Eastern Conf Semifinals,May 12 - May 26 2012,Boston Celtics,4,Philadelphia 76ers,3,,
2012,Western Conf Semifinals,May 15 - May 20 2012,San Antonio Spurs,4,Los Angeles Clippers,0,,
2012,Western Conf Semifinals,May 14 - May 21 2012,Oklahoma City Thunder,4,Los Angeles Lakers,1,,
2012,Western Conf Finals,May 27 - Jun 6 2012,Oklahoma City Thunder,4,San Antonio Spurs,2,,
2012,Eastern Conf Finals,May 28 - Jun 9 2012,Miami Heat,4,Boston Celtics,3,,
2012,Finals,Jun 12 - Jun 21 2012,Miami Heat,4,Oklahoma City Thunder,1,,
2011,Eastern Conf First Round,Apr 16 - Apr 26 2011,Chicago Bulls,4,Indiana Pacers,1,,
2011,Eastern Conf First Round,Apr 16 - Apr 27 2011,Miami Heat,4,Philadelphia 76ers,1,,
2011,Eastern Conf First Round,Apr 17 - Apr 24 2011,Boston Celtics,4,New York Knicks,0,,
2011,Eastern Conf First Round,Apr 16 - Apr 28 2011,Atlanta Hawks,4,Orlando Magic,2,,
2011,Western Conf First Round,Apr 17 - Apr 29 2011,Memphis Grizzlies,4,San Antonio Spurs,2,,
2011,Western Conf First Round,Apr 17 - Apr 28 2011,Los Angeles Lakers,4,New Orleans Hornets,2,,
2011,Western Conf First Round,Apr 16 - Apr 28 2011,Dallas Mavericks,4,Portland Trail Blazers,2,,
2011,Western Conf First Round,Apr 17 - Apr 27 2011,Oklahoma City Thunder,4,Denver Nuggets,1,,
2011,Eastern Conf Semifinals,May 2 - May 12 2011,Chicago Bulls,4,Atlanta Hawks,2,,
2011,Eastern Conf Semifinals,May 1 - May 11 2011,Miami Heat,4,Boston Celtics,1,,
