draftPickID,Year,Team ID,Lg,Rd,Pk,Player,College,G
75,1985,Golden State Warriors,NBA,2,42,Bobby Lee Hurt,University of Alabama,
76,1985,Golden State Warriors,NBA,3,49,Brad Wright, wrighbr01,University of California Los Angeles
77,1985,Golden State Warriors,NBA,4,71,Luster Goodwin,University of Texas at El Paso,
78,1985,Golden State Warriors,NBA,5,95,Greg Cavener,University of Missouri,
79,1985,Golden State Warriors,NBA,6,117,Gerald Crosby,University of Georgia,
80,1985,Golden State Warriors,NBA,7,141,Eric Boyd,North Carolina A&T,
81,1984,Golden State Warriors,NBA,2,30,Steve Burtt, burttst01,Iona College
82,1984,Golden State Warriors,NBA,2,31,Jay Murphy, murphja01,Boston College
83,1984,Golden State Warriors,NBA,2,35,Othell Wilson, wilsoot01,University of Virginia
84,1984,Golden State Warriors,NBA,2,45,Gary Plummer, plummga01,Boston University
85,1984,Golden State Warriors,NBA,3,55,Lewis Jackson,Alabama State University,
86,1984,Golden State Warriors,NBA,5,101,Steve Bartek,Doane College,
87,1984,Golden State Warriors,NBA,5,110,Scott McCollum,Pepperdine University,
88,1984,Golden State Warriors,NBA,6,123,Tony Martin,University of Wyoming,
89,1984,Golden State Warriors,NBA,7,147,Cliff Higgins,California State University Northridge,
90,1984,Golden State Warriors,NBA,8,169,Paul Brozovich,University of Nevada Las Vegas,
91,1984,Golden State Warriors,NBA,9,192,Mitch Arnold,California State University Fresno,
92,1984,Golden State Warriors,NBA,10,213,Tim Bell,University of California Riverside,
93,1983,Golden State Warriors,NBA,1,6,Russell Cross, crossru01,Purdue University
94,1983,Golden State Warriors,NBA,2,43,Pace Mannion, mannipa01,University of Utah
95,1983,Golden State Warriors,NBA,3,53,Mike Holton, holtomi01,University of California Los Angeles
96,1983,Golden State Warriors,NBA,4,77,Peter Thibeaux, thibepe01,Saint Mary's College of California
97,1983,Golden State Warriors,NBA,5,99,Greg Hines,Hampton University,
98,1983,Golden State Warriors,NBA,6,123,Tom Heywood,Weber State University,
99,1983,Golden State Warriors,NBA,7,145,Peter Williams,University of Utah,
100,1983,Golden State Warriors,NBA,8,169,Doug Harris,Central Washington University,
101,1983,Golden State Warriors,NBA,9,190,Greg Goorjiam,Loyola Marymount University,
102,1983,Golden State Warriors,NBA,10,212,Michael Zeno,California State University Long Beach,
103,1982,Golden State Warriors,NBA,1,14,Lester Conner, connele01,Oregon State University
104,1982,Golden State Warriors,NBA,2,35,Derek Smith, smithde02,University of Louisville
105,1982,Golden State Warriors,NBA,2,38,Wayne Sappleton, sapplwa01,Loyola University of Chicago
